city,rank,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long,country
Tartu,307,3.3,4.0,3.0,2446.0,36.0,2.0,19.0,4.0,5.0,4.0,1482.0,4.0,5.0,3.0,3.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,58.3801207,26.72245, Eesti
Asuncion,308,3.3,3.0,2.0,1289.0,8.0,3.0,97.0,3.0,2.0,3.0,337.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,-25.2800459,-57.6343814, Paraguay
Little Rock AR,309,3.3,4.0,3.0,2560.0,65.0,3.0,37.0,4.0,4.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,5.0,3.0,34.7464809,-92.2895948, United States
Roanoke VA,310,3.3,3.0,3.0,2852.0,58.0,3.0,31.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,37.270973,-79.9414313, United States
Grande Prairie,311,3.3,4.0,3.0,2758.0,23.0,3.0,17.0,4.0,3.0,4.0,3513.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,3.0,55.17108,-118.7949873, Canada
Richland WA,312,3.3,4.0,4.0,2937.0,45.0,3.0,19.0,4.0,5.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,46.2804298,-119.2752055, United States
Adelaide,314,3.3,4.0,4.0,3205.0,19.0,2.0,7.0,5.0,4.0,5.0,4506.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,-34.9281805,138.5999312, Australia
Male,315,3.3,3.0,2.0,1256.0,6.0,5.0,68.0,5.0,4.0,2.0,736.0,3.0,5.0,3.0,5.0,2.0,2.0,5.0,3.0,5.0,3.0,2.0,2.0,3.0,4.1779879,73.5107387, ދިވެހިރާއްޖެ
Montgomery AL,316,3.3,3.0,3.0,2494.0,34.0,3.0,46.0,4.0,3.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,5.0,3.0,33.810124,-86.809849, United States
Regina,317,3.3,4.0,4.0,2877.0,23.0,3.0,25.0,4.0,5.0,4.0,3513.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,50.44876,-104.61731, Canada
Raleigh NC,318,3.3,4.0,4.0,2967.0,65.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,35.7803977,-78.6390989, United States
Kannur,319,3.3,3.0,2.0,1151.0,8.0,3.0,36.0,4.0,2.0,2.0,142.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,11.8762254,75.3738043, India
Houston TX,320,3.3,4.0,4.0,3586.0,56.0,2.0,31.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,29.7589382,-95.3676974, United States
Cabo San Lucas,321,3.3,3.0,2.0,1470.0,22.0,3.0,31.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,2.0,3.0,5.0,2.0,22.8938884,-109.9200604, México
Toledo OH,322,3.3,3.0,3.0,2745.0,35.0,3.0,34.0,4.0,4.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,5.0,5.0,3.0,41.6529143,-83.5378173, United States
Winston NC,323,3.3,3.0,3.0,2782.0,64.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,4.0,5.0,3.0,36.06571345,-80.3285990155299, United States
Lake Balaton,324,3.3,3.0,3.0,1539.0,64.0,4.0,25.0,4.0,3.0,4.0,1075.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,46.8836527,17.846663499449168, Magyarország
Jonesboro AR,325,3.3,3.0,3.0,2811.0,36.0,3.0,25.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,5.0,3.0,35.8428646,-90.7034522, United States
Port Arthur TX,326,3.3,4.0,3.0,2885.0,59.0,3.0,32.0,4.0,4.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,29.8988618,-93.9288723, United States
Great Falls MT,327,3.3,4.0,4.0,2900.0,38.0,3.0,27.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,5.0,3.0,47.5048851,-111.29189, United States
Iowa City IA,328,3.3,3.0,3.0,3034.0,35.0,3.0,31.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,41.6612561,-91.5299106, United States
Nice,329,3.3,4.0,3.0,3192.0,27.0,5.0,40.0,4.0,3.0,4.0,3069.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,43.7009358,7.2683912, France
Des Moines IA,330,3.3,4.0,3.0,3007.0,34.0,3.0,32.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,41.5910323,-93.6046655, United States
Lubbock TX,331,3.3,4.0,3.0,2870.0,50.0,3.0,26.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,33.5635206,-101.879336, United States
Surabaya,332,3.3,3.0,2.0,814.0,8.0,2.0,26.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,-7.2459717,112.7378266, Indonesia
Gwalior,333,3.3,3.0,2.0,1086.0,8.0,3.0,364.0,4.0,2.0,2.0,142.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,26.2037247,78.1573628, India
Manchester,334,3.3,4.0,4.0,3155.0,26.0,4.0,33.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,53.4794892,-2.2451148, United Kingdom
Fredericton,335,3.3,4.0,4.0,2703.0,25.0,2.0,18.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,45.94780155,-66.65347069241668, Canada
Livingstone,336,3.3,3.0,3.0,1512.0,3.0,3.0,18.0,3.0,3.0,3.0,106.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,-22.72113785,150.24127629909626, Australia
El Jadida,337,3.3,3.0,2.0,1542.0,8.0,3.0,18.0,4.0,2.0,2.0,245.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,33.2336952,-8.500424800741666, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
Salvador,338,3.3,3.0,3.0,1095.0,12.0,3.0,18.0,1.0,3.0,3.0,721.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,13.8000382,-88.9140683, El Salvador
Madurai,339,3.3,3.0,3.0,1025.0,9.0,3.0,133.0,4.0,2.0,2.0,142.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,9.9261153,78.1140983, India
Bogota,340,3.2,3.0,2.0,993.0,8.0,3.0,141.0,1.0,2.0,3.0,484.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,2.0,5.0,3.0,2.0,5.0,2.0,4.6533326,-74.083652, Colombia
Nakhon Ratchasima,341,3.2,3.0,3.0,1133.0,82.0,3.0,69.0,4.0,3.0,3.0,493.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,15.2241917,101.9313754, ประเทศไทย
Rochester MN,342,3.2,4.0,3.0,3102.0,39.0,3.0,25.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,3.0,44.0234387,-92.4630182, United States
Hagen,343,3.2,4.0,3.0,2424.0,36.0,3.0,25.0,5.0,3.0,4.0,3538.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,51.3582945,7.473296, Deutschland
Pattaya,344,3.2,4.0,3.0,1288.0,19.0,4.0,48.0,4.0,2.0,3.0,493.0,2.0,5.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,2.0,12.9366674,100.8864587, ประเทศไทย
Amed Bali,345,3.2,3.0,3.0,986.0,9.0,4.0,48.0,5.0,4.0,3.0,298.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,-8.334584,115.6409359, Indonesia
Bowling Green KY,346,3.2,3.0,3.0,2910.0,60.0,3.0,38.0,4.0,3.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,36.9903199,-86.4436018, United States
Malang,347,3.2,3.0,2.0,924.0,8.0,3.0,38.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-7.9771206,112.6340291, Indonesia
Tangier,348,3.2,3.0,2.0,1774.0,8.0,3.0,38.0,4.0,3.0,2.0,245.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,35.777103,-5.803792, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
Port of Spain,349,3.2,3.0,3.0,1275.0,15.0,4.0,38.0,1.0,3.0,3.0,1471.0,3.0,5.0,2.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,10.6572678,-61.5180173, Trinidad and Tobago
Warner Robins GA,350,3.2,4.0,3.0,2835.0,38.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,32.6200973,-83.606568, United States
Ko Lanta,351,3.2,4.0,3.0,1371.0,19.0,4.0,36.0,4.0,3.0,3.0,493.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,4.0,3.0,5.0,4.0,2.0,7.55984195,99.05728875374528, ประเทศไทย
Macon GA,352,3.2,3.0,3.0,2758.0,34.0,3.0,31.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,32.8406946,-83.6324022, United States
Krasnoyarsk,353,3.2,3.0,2.0,1692.0,18.0,4.0,31.0,2.0,2.0,4.0,721.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,63.3233807,97.0979974, Россия
Dayton OH,354,3.2,3.0,3.0,3131.0,44.0,3.0,31.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,39.7589478,-84.1916069, United States
Matara,355,3.2,3.0,2.0,570.0,9.0,4.0,31.0,4.0,2.0,4.0,326.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,9.9261153,78.1140983, India
Columbus GA,356,3.3,4.0,3.0,3173.0,56.0,3.0,26.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,43.1841333,-79.8162397, Canada
Bismarck ND,358,3.2,3.0,3.0,2845.0,39.0,3.0,20.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,46.808327,-100.783739, United States
Sacramento CA,359,3.2,4.0,4.0,3390.0,56.0,3.0,31.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,38.5810606,-121.493895, United States
Lexington KY,360,3.2,3.0,3.0,2826.0,37.0,3.0,41.0,4.0,3.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,38.0464066,-84.4970393, United States
Killeen TX,361,3.2,3.0,3.0,2971.0,58.0,3.0,41.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,31.1171441,-97.727796, United States
Fort Smith AR,362,3.2,3.0,3.0,2770.0,33.0,3.0,29.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,35.3872218,-94.4248983, United States
Memphis TN,363,3.2,3.0,3.0,3057.0,36.0,2.0,37.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,35.1490215,-90.0516285, United States
Moncton,364,3.2,4.0,4.0,2981.0,25.0,3.0,17.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,46.097995,-64.80011, Canada
Minot ND,365,3.2,3.0,3.0,2867.0,31.0,3.0,18.0,4.0,5.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,48.23251,-101.296273, United States
Surakarta,366,3.2,3.0,2.0,680.0,6.0,2.0,18.0,5.0,4.0,3.0,298.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-7.5692462,110.828448, Indonesia
Provo UT,367,3.2,4.0,3.0,3199.0,79.0,2.0,53.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,40.2338438,-111.6585337, United States
Quebec City,368,3.2,4.0,3.0,2255.0,25.0,3.0,24.0,4.0,5.0,4.0,3513.0,3.0,5.0,3.0,5.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,46.8137431,-71.2084061, Canada
Harlingen TX,369,3.2,4.0,3.0,3007.0,55.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,26.1908241,-97.6959794, United States
Youngstown OH,370,3.2,3.0,3.0,2796.0,36.0,3.0,24.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,41.1035786,-80.6520161, United States
Sioux Falls SD,371,3.2,3.0,3.0,2901.0,44.0,3.0,20.0,4.0,5.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,43.5460587,-96.7313928, United States
Pharr TX,372,3.2,4.0,3.0,2959.0,48.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,26.1947962,-98.1836216, United States
Palermo,373,3.2,3.0,3.0,2440.0,29.0,3.0,36.0,5.0,3.0,4.0,2607.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,38.1112268,13.3524434, Italia
Kharkiv,374,3.2,3.0,2.0,967.0,29.0,2.0,36.0,4.0,2.0,4.0,175.0,2.0,5.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,49.9923181,36.2310146, Україна
Hubli,375,3.2,3.0,2.0,903.0,9.0,3.0,74.0,4.0,2.0,2.0,142.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,15.3518378,75.1379848, India
Lancaster CA,376,3.2,4.0,4.0,2961.0,58.0,3.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,34.6981064,-118.1366153, United States
Knoxville TN,377,3.2,3.0,3.0,2847.0,63.0,3.0,37.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,35.9603948,-83.9210261, United States
Ivano-Frankivsk,378,3.2,3.0,2.0,874.0,26.0,2.0,32.0,4.0,2.0,4.0,175.0,2.0,5.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,48.7481718,24.5207477, Україна
Port Louis,379,3.2,3.0,3.0,1920.0,5.0,4.0,83.0,4.0,2.0,3.0,807.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,-20.1637281,57.5045331, Mauritius
Conway AR,380,3.2,3.0,3.0,2726.0,36.0,3.0,37.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,35.2521996,-92.6888936, United States
Fargo ND,381,3.2,3.0,3.0,2986.0,53.0,3.0,24.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,46.877229,-96.789821, United States
Arequipa,382,3.2,3.0,3.0,854.0,9.0,3.0,24.0,3.0,3.0,3.0,504.0,2.0,5.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,-16.3988667,-71.5369607, Perú
Gili Air,383,3.2,3.0,2.0,976.0,9.0,2.0,24.0,5.0,2.0,3.0,298.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-8.35760475,116.08115279184318, Indonesia
Cozumel,384,3.2,3.0,3.0,1418.0,13.0,4.0,24.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,5.0,2.0,20.4317585,-86.92027456597663, México
Leicester,385,3.2,4.0,3.0,3035.0,26.0,5.0,37.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,52.6361398,-1.1330789, United Kingdom
La Serena,386,3.2,3.0,3.0,1496.0,14.0,5.0,52.0,4.0,3.0,4.0,1150.0,2.0,5.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,2.0,-29.902631,-71.2520253, Chile
Sarajevo,388,3.2,4.0,3.0,1271.0,14.0,2.0,61.0,4.0,3.0,3.0,401.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,2.0,5.0,4.0,3.0,2.0,3.0,43.8519774,18.3866868, Bosna i Hercegovina / Босна и Херцеговина
Medford OR,389,3.2,3.0,3.0,2912.0,59.0,3.0,29.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,42.3264181,-122.8718605, United States
Bari,390,3.2,4.0,3.0,2247.0,19.0,3.0,79.0,5.0,2.0,4.0,2607.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,2.0,3.0,41.1257843,16.8620293, Italia
Denpasar Bali,391,3.2,3.0,2.0,665.0,9.0,2.0,79.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,-8.6524973,115.2191175, Indonesia
Chico CA,392,3.2,3.0,3.0,2645.0,99.0,3.0,41.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,39.7284945,-121.8374777, United States
Jacksonville FL,393,3.2,4.0,3.0,2935.0,37.0,4.0,33.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,30.3321838,-81.655651, United States
Cork,394,3.2,4.0,4.0,3458.0,22.0,4.0,33.0,5.0,5.0,4.0,5375.0,5.0,5.0,3.0,4.0,3.0,2.0,5.0,2.0,4.0,5.0,3.0,5.0,3.0,51.897077,-8.4654674, Éire / Ireland
Augusta GA,395,3.2,4.0,3.0,3127.0,54.0,3.0,23.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,33.4709714,-81.9748429, United States
Valdosta GA,396,3.2,4.0,3.0,2598.0,78.0,3.0,37.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,30.8327022,-83.2784851, United States
Norfolk VA,397,3.2,4.0,3.0,3009.0,38.0,3.0,25.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,36.8968052,-76.2602336, United States
Chattanooga TN,398,3.2,4.0,3.0,3217.0,70.0,2.0,39.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,35.0457219,-85.3094883, United States
Kearney NE,399,3.2,4.0,3.0,2980.0,42.0,3.0,39.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,40.4906216,-98.9472344, United States
Las Cruces NM,400,3.2,4.0,3.0,3152.0,39.0,3.0,20.0,4.0,5.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,32.3140354,-106.7798078, United States
Syracuse NY,401,3.2,3.0,3.0,3008.0,37.0,3.0,22.0,4.0,3.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,43.0481221,-76.1474244, United States
Nagpur,402,3.2,3.0,3.0,781.0,9.0,4.0,175.0,4.0,2.0,2.0,142.0,3.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,21.1498134,79.0820556, India
Ipoh,403,3.2,3.0,2.0,1137.0,16.0,3.0,61.0,4.0,2.0,3.0,792.0,3.0,5.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,4.5986817,101.0900236, Malaysia
Podgorica,404,3.2,3.0,3.0,1520.0,24.0,3.0,98.0,4.0,2.0,4.0,580.0,2.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,42.4415238,19.2621081, Crna Gora / Црна Гора
Albuquerque NM,405,3.2,4.0,3.0,3369.0,39.0,4.0,26.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,35.0841034,-106.650985, United States
Palembang Sumatra,406,3.2,3.0,2.0,799.0,9.0,3.0,26.0,5.0,2.0,3.0,298.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,-2.9888297,104.756857, Indonesia
Ocala FL,407,3.2,3.0,3.0,3012.0,46.0,3.0,31.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,5.0,3.0,29.1871986,-82.1400923, United States
Lansing MI,408,3.2,3.0,3.0,2893.0,46.0,3.0,33.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,5.0,3.0,42.7337712,-84.5553805, United States
Campinas,409,3.2,3.0,3.0,965.0,13.0,3.0,66.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,-22.90556,-47.06083, Brasil
Birmingham,410,3.2,4.0,4.0,3567.0,26.0,4.0,31.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,52.4796992,-1.9026911, United Kingdom
Waco TX,411,3.2,3.0,3.0,3098.0,56.0,3.0,26.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,3.0,31.5520981,-97.114845, United States
Genoa,412,3.2,4.0,3.0,2590.0,18.0,4.0,46.0,5.0,2.0,4.0,2607.0,4.0,5.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,44.40726,8.9338624, Italia
Semarang,413,3.2,3.0,2.0,751.0,9.0,2.0,46.0,5.0,4.0,3.0,298.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-6.9903988,110.4229104, Indonesia
Charlotte NC,414,3.2,4.0,4.0,3168.0,39.0,3.0,21.0,4.0,3.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,35.2272086,-80.8430827, United States
Osaka,415,3.2,4.0,3.0,2213.0,26.0,3.0,43.0,5.0,2.0,4.0,3220.0,2.0,5.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,3.0,4.0,2.0,34.6198813,135.490357, 日本
Ushuaia,416,3.2,3.0,3.0,1639.0,12.0,4.0,43.0,3.0,3.0,4.0,1037.0,3.0,5.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,5.0,2.0,-54.8061159,-68.3184972880496, Argentina
Cirebon,417,3.2,3.0,2.0,679.0,9.0,3.0,43.0,5.0,2.0,3.0,298.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,-6.7137044,108.5608483, Indonesia
Recife,418,3.2,3.0,2.0,1001.0,13.0,5.0,43.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,2.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,-8.0584933,-34.8848193, Brasil
Hobart,419,3.2,4.0,3.0,3326.0,20.0,3.0,11.0,5.0,4.0,5.0,4506.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,-42.8825088,147.3281233, Australia
Milwaukee WI,420,3.2,4.0,3.0,3385.0,50.0,4.0,24.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,43.0349931,-87.922497, United States
Goiania,421,3.2,3.0,3.0,814.0,11.0,2.0,24.0,1.0,4.0,3.0,721.0,3.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,-16.680882,-49.2532691, Brasil
