city,rank,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long,country
Kingsport TN,228,3.4,3.0,3.0,2400.0,42.0,3.0,30.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,36.550238,-82.5594293, United States
Ogden UT,229,3.4,4.0,4.0,2635.0,69.0,2.0,28.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,41.2230048,-111.9738429, United States
Busan,230,3.4,4.0,3.0,2202.0,30.0,4.0,59.0,5.0,3.0,4.0,2315.0,2.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,35.1799528,129.0752365, 대한민국
Galle,231,3.4,3.0,3.0,1291.0,9.0,5.0,59.0,4.0,2.0,4.0,326.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,3.0,3.0,51.4825041,11.9705452, Deutschland
Beaumont TX,232,3.4,4.0,3.0,2494.0,42.0,3.0,59.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,30.0860459,-94.1018461, United States
Nha Trang,233,3.4,3.0,2.0,635.0,14.0,4.0,59.0,4.0,3.0,2.0,181.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,12.2431693,109.1898675, Việt Nam
Cairns,234,3.4,4.0,4.0,2633.0,21.0,2.0,59.0,5.0,4.0,5.0,4506.0,5.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,-16.9206657,145.7721854, Australia
Abbotsford,235,3.4,4.0,4.0,2676.0,25.0,4.0,18.0,4.0,5.0,4.0,3513.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,3.0,49.0521162,-122.329479, Canada
Hong Kong,236,3.4,4.0,4.0,2497.0,75.0,5.0,71.0,5.0,2.0,4.0,3662.0,3.0,5.0,3.0,3.0,5.0,2.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,22.2793278,114.1628131, 中国
Monterrey,237,3.4,4.0,3.0,1200.0,12.0,3.0,61.0,2.0,2.0,3.0,704.0,2.0,5.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,2.0,3.0,5.0,2.0,25.6802019,-100.315258, México
Oshawa,238,3.4,4.0,4.0,2628.0,25.0,3.0,21.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,43.8975558,-78.8635324, Canada
Battle Creek MI,239,3.4,3.0,3.0,2312.0,54.0,3.0,31.0,4.0,3.0,4.0,4817.0,5.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,42.3192548,-85.1824269, United States
Haikou,240,3.4,4.0,3.0,1397.0,2.0,5.0,61.0,5.0,4.0,3.0,677.0,3.0,2.0,2.0,3.0,3.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,20.0462328,110.1956502, 中国
Evansville IN,241,3.4,3.0,3.0,2429.0,78.0,3.0,33.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,5.0,3.0,37.9747645,-87.5558483, United States
Mamaia,242,3.4,3.0,3.0,1988.0,50.0,3.0,10.0,4.0,2.0,4.0,787.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,2.0,3.0,44.2337861,28.6255665, România
Baguio,243,3.4,3.0,3.0,1510.0,9.0,2.0,48.0,3.0,2.0,3.0,246.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,2.0,16.412007,120.5933937, Luzon
Hamburg,244,3.4,4.0,4.0,3928.0,42.0,5.0,36.0,5.0,4.0,4.0,3538.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,4.0,5.0,5.0,5.0,3.0,53.550341,10.000654, Deutschland
