,rank,city,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long
0,0,Lisbon,4.8,4.0,4.0,2082.0,26.0,5.0,32.0,5.0,3.0,3.0,1646.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,38.7077507,-9.1365919
1,1,Cape Town,4.6,4.0,4.0,1692.0,8.0,4.0,16.0,1.0,3.0,3.0,425.0,5.0,5.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,-33.928992,18.417396
2,2,Porto,4.5,4.0,4.0,1945.0,33.0,4.0,11.0,5.0,3.0,3.0,1646.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,41.1494512,-8.6107884
3,3,Madeira,4.5,4.0,4.0,2059.0,38.0,4.0,11.0,5.0,3.0,3.0,1646.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,32.751748750000004,-16.981752048847362
4,4,Las Palmas Canary Islands,4.5,4.0,4.0,2298.0,25.0,4.0,38.0,5.0,3.0,4.0,2225.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,27.9580004,-15.6062305376665
5,5,Ericeira,4.5,4.0,4.0,2233.0,39.0,5.0,32.0,5.0,5.0,3.0,1646.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,38.97039795,-9.399580512067734
6,6,Canggu Bali,4.5,4.0,3.0,1112.0,18.0,4.0,32.0,5.0,4.0,3.0,298.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,-8.650618,115.1364993
7,7,Miami FL,4.5,4.0,4.0,4631.0,39.0,5.0,33.0,4.0,4.0,4.0,4817.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,25.7741728,-80.19362
8,8,Mexico City,4.5,4.0,3.0,1486.0,19.0,4.0,56.0,2.0,2.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,3.0,19.4326296,-99.1331785
9,9,Ko Pha Ngan,4.4,4.0,3.0,1053.0,20.0,5.0,56.0,4.0,2.0,3.0,493.0,2.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,9.734950300000001,100.0305710845208
10,11,Berlin,4.4,4.0,4.0,3069.0,29.0,5.0,23.0,5.0,4.0,4.0,3538.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,52.5170365,13.3888599
11,12,Istanbul,4.4,4.0,3.0,947.0,11.0,4.0,111.0,4.0,3.0,3.0,905.0,2.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,3.0,41.0096334,28.9651646
12,13,Puerto Escondido,4.4,4.0,3.0,1754.0,25.0,4.0,111.0,2.0,4.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,4.0,5.0,2.0,15.8693331,-97.0726428
13,14,Singapore,4.3,4.0,4.0,2856.0,105.0,4.0,54.0,5.0,4.0,4.0,4401.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,2.0,5.0,2.0,3.0,1.357107,103.8194992
14,15,Playa del Carmen,4.2,4.0,3.0,1343.0,9.0,5.0,54.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,5.0,2.0,20.6308643,-87.0779503
15,16,Prague,4.2,4.0,4.0,2195.0,38.0,5.0,56.0,5.0,2.0,4.0,1534.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,50.0874654,14.4212535
16,17,Austin TX,4.2,4.0,4.0,4402.0,68.0,5.0,38.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,30.2711286,-97.7436995
17,18,Taipei,4.2,4.0,4.0,1972.0,20.0,3.0,85.0,5.0,4.0,4.0,2048.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,25.0375198,121.5636796
18,19,Da Nang,4.2,4.0,3.0,1030.0,12.0,3.0,37.0,4.0,3.0,2.0,181.0,2.0,5.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,16.068,108.212
19,20,Seattle WA,4.2,4.0,4.0,4111.0,115.0,3.0,19.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,47.6038321,-122.3300624
20,21,Buenos Aires,4.1,4.0,4.0,722.0,27.0,4.0,24.0,3.0,4.0,4.0,1037.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,-34.6075682,-58.4370894
21,22,Tenerife Canary Islands,4.1,4.0,4.0,3634.0,27.0,5.0,28.0,5.0,4.0,4.0,2225.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,28.2935785,-16.621447121144122
22,24,Budapest,4.1,4.0,3.0,1482.0,40.0,4.0,35.0,4.0,2.0,4.0,1075.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,47.4979937,19.0403594
23,26,Bangkok,4.1,4.0,3.0,1350.0,32.0,4.0,55.0,4.0,2.0,3.0,493.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,13.7525438,100.4934734
24,27,Saint Petersburg,4.1,4.0,3.0,1595.0,15.0,4.0,55.0,2.0,3.0,4.0,721.0,3.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,59.938732,30.316229
25,28,Tbilisi,4.1,4.0,3.0,1193.0,12.0,4.0,150.0,4.0,2.0,4.0,304.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,4.0,3.0,2.0,3.0,41.6934591,44.8014495
26,29,Moscow,4.1,4.0,3.0,1952.0,16.0,5.0,53.0,2.0,3.0,4.0,721.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,55.7504461,37.6174943
27,30,Barcelona,4.1,4.0,4.0,3072.0,29.0,5.0,22.0,5.0,2.0,4.0,2225.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,41.3828939,2.1774322
28,31,Phuket,4.1,4.0,3.0,1333.0,21.0,4.0,43.0,4.0,3.0,3.0,493.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,7.9366015,98.3529292
29,32,Toronto,4.1,4.0,4.0,3255.0,27.0,4.0,36.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,43.6534817,-79.3839347
30,33,Penang,4.1,4.0,3.0,1090.0,18.0,3.0,36.0,4.0,4.0,3.0,792.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,3.0,5.4065013,100.2559077
31,34,Belgrade,4.1,4.0,3.0,1506.0,33.0,4.0,106.0,4.0,3.0,3.0,452.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,44.8178131,20.4568974
32,35,Warsaw,4.1,4.0,4.0,1756.0,29.0,5.0,56.0,5.0,2.0,4.0,1028.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,3.0,52.2319581,21.0067249
33,36,Oaxaca,4.0,4.0,3.0,1195.0,15.0,3.0,38.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,5.0,2.0,3.0,5.0,2.0,17.0,-96.5
34,37,Tulum,4.0,3.0,3.0,2062.0,12.0,4.0,38.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,4.0,5.0,2.0,20.2152358,-87.42953531439221
