city,rank,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long,country,continent
Knoxville TN,377,3.2,3.0,3.0,2847.0,63.0,3.0,37.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,35.9603948,-83.9210261, United States,north_america
Ivano-Frankivsk,378,3.2,3.0,2.0,874.0,26.0,2.0,32.0,4.0,2.0,4.0,175.0,2.0,5.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,48.7481718,24.5207477, Ukraine,europe
Port Louis,379,3.2,3.0,3.0,1920.0,5.0,4.0,83.0,4.0,2.0,3.0,807.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,-20.1637281,57.5045331, Mauritius,africa
Conway AR,380,3.2,3.0,3.0,2726.0,36.0,3.0,37.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,35.2521996,-92.6888936, United States,north_america
Fargo ND,381,3.2,3.0,3.0,2986.0,53.0,3.0,24.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,46.877229,-96.789821, United States,north_america
Arequipa,382,3.2,3.0,3.0,854.0,9.0,3.0,24.0,3.0,3.0,3.0,504.0,2.0,5.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,-16.3988667,-71.5369607, Peru,south_america
Gili Air,383,3.2,3.0,2.0,976.0,9.0,2.0,24.0,5.0,2.0,3.0,298.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,-8.35760475,116.08115279184318, Indonesia,asia
Cozumel,384,3.2,3.0,3.0,1418.0,13.0,4.0,24.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,5.0,2.0,20.4317585,-86.92027456597663, Mexico,north_america
Leicester,385,3.2,4.0,3.0,3035.0,26.0,5.0,37.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,52.6361398,-1.1330789, United Kingdom,europe
La Serena,386,3.2,3.0,3.0,1496.0,14.0,5.0,52.0,4.0,3.0,4.0,1150.0,2.0,5.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,2.0,-29.902631,-71.2520253, Chile,south_america
Sarajevo,388,3.2,4.0,3.0,1271.0,14.0,2.0,61.0,4.0,3.0,3.0,401.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,2.0,5.0,4.0,3.0,2.0,3.0,43.8519774,18.3866868, Bosnia and Herzegovina,europe
Medford OR,389,3.2,3.0,3.0,2912.0,59.0,3.0,29.0,4.0,5.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,42.3264181,-122.8718605, United States,north_america
Bari,390,3.2,4.0,3.0,2247.0,19.0,3.0,79.0,5.0,2.0,4.0,2607.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,2.0,3.0,41.1257843,16.8620293, Italy,europe
Denpasar Bali,391,3.2,3.0,2.0,665.0,9.0,2.0,79.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,-8.6524973,115.2191175, Indonesia,asia
Chico CA,392,3.2,3.0,3.0,2645.0,99.0,3.0,41.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,39.7284945,-121.8374777, United States,north_america
Jacksonville FL,393,3.2,4.0,3.0,2935.0,37.0,4.0,33.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,30.3321838,-81.655651, United States,north_america
Cork,394,3.2,4.0,4.0,3458.0,22.0,4.0,33.0,5.0,5.0,4.0,5375.0,5.0,5.0,3.0,4.0,3.0,2.0,5.0,2.0,4.0,5.0,3.0,5.0,3.0,51.897077,-8.4654674, Ireland,europe
Augusta GA,395,3.2,4.0,3.0,3127.0,54.0,3.0,23.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,33.4709714,-81.9748429, United States,north_america
Valdosta GA,396,3.2,4.0,3.0,2598.0,78.0,3.0,37.0,4.0,4.0,4.0,4817.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,30.8327022,-83.2784851, United States,north_america
Norfolk VA,397,3.2,4.0,3.0,3009.0,38.0,3.0,25.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,36.8968052,-76.2602336, United States,north_america
Chattanooga TN,398,3.2,4.0,3.0,3217.0,70.0,2.0,39.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,35.0457219,-85.3094883, United States,north_america
